,id,name,description,languages,publisher
102,0KEsqdQgVCL6BKomPoNVOz,The Australian Finance Podcast,"The Australian Finance Podcast is your crash course guide to sorting out your finances, one episode at a time. Owen & Kate bring you actionable information that you can put into practice today, so you can smash those money goals and set yourself up for success. Catch Owen @RaskFinance or @owenrask on Twitter, and Kate @HowToMoneyAUS or on the How To Money Australia website.  **We're proudly supported by ETF Securities** Learn more about ETF Securities: https://bit.ly/fundsETFS  SHOW NOTES: https://www.rask.com.au/podcasts/?utm_source=whooshkaa-AFP-overview  DISCLAIMER: The information in this podcast series is general financial information/advice only. That means, the advice does not take into account your objectives, financial situation or needs. Because of that, you should consider if the advice is appropriate to you and your needs, before acting on the information. In addition, you should obtain and read the product disclosure statement (PDS) before making a decision to acquire a financial product. If you don’t know what your needs are, you should consult a trusted and licensed financial adviser who can provide you with personal financial product advice. Please read our Terms of Service and Financial Services Guide on www.rask.com.au/fsg.",['en-US'],The Rask Group
103,1Vcr7gK544BcvihcDgwo79,LatinX Finance and More,"This podcast is an exploration of Latino personal finance, financial independence, and taking the conversion to the next level.  - Topics related to LatinX community with a Finance twist - New episodes will be released weekly on Tuesdays - Please do your research and understand what works best for you after listening to my podcast. I will provide resources when possible. - Bonus episodes will be in Spanish with no release schedule - SI ESPANOL! - I want this podcast to be available to anyone who understands S have to be Latino o Latina, so tune in and let me know what you think. Dale!",['en'],Jorge Perez
105,3LV5IVPlB3uA5C3n7p46io,Settlement Planning Tips for Personal Injury Attorneys,"The Settlement Planning Tips for Personal Injury Attorneys podcast helps PI lawyers navigate the unique legal and financial issues that arise near the settlement of a PI case.  Each week, join Greg Maxwell, JD, CFP® of Amicus Settlement Planners, as he answers commonly asked questions and shares practical pointers to maximize the client's recovery while minimizing the lawyer's liability.  This attorney-to-attorney podcast discusses government benefits planning, special needs trusts, structured settlement annuities, lien resolution, Medicare Secondary Payer Act compliance, income tax reduction strategies for attorneys, and more!",['en'],Amicus Settlement Planners
107,4eYLHQnNNR1xONSrpBK5it,Financial Fancy Podcast ,"The Financial Fancy podcast with Charese Chambers offers practical financial advise for small business, nonprofits, and everyday people. Charese believes that financial education does not rank high in our traditional schooling and everyday people struggle with navigating their own personal finances because they were equipped to adult in real life. Let's lean in the financial therapist is ready to heal your checkbook. Support this podcast: https://anchor.fm/financialfancy/support",['en'],Financial Fancy Podcast 
110,4X4oI4xPiBh6INoogdh9dV,The Andrew Lopez Finance Podcast,"In The Andrew Lopez Finance Podcast, we talk everything from credit cards to personal finance and the FIRE movement. All of the show notes for the podcast will be on the YouTube Channel, The Andrew Lopez Finance Podcast",['en'],Andrew Lopez Finance Podcast
111,0IooQ5n3DpODONUjiWKnGg,Financial Safari with Coach Pete,"The mission of the Financial Safari is to equip you with the tools and knowledge that you need to successfully navigate through today's complex financial jungle. Each week, the hosts and guests on the show reveal the latest developments in the financial world to keep you informed of changes that may affect you personally, while sharing some common sense strategies that will help you make the most out of your retirement savings.",['en-US'],Financial Safari
112,6CDoa2XvRKH4djwG3noPfw,Dev Raga - Personal Finance Podcasts,"Dev Raga is a Melbourne (Australia) based podcaster who discusses common financial topics. This ranges from saving, investing, debt reduction, personal insurance and many more topics. He also gets really geeky about finance sometimes!  We are on Facebook: @DevRagaPersonalFinance We are also on:  1. DevRaga.com (or Castbox.fm app - preferred) 2. Spotify 3. Breaker Audio 4. Castro 5. RadioPublic 6. Player.fm 7. Podcast Addict 8. MixCloud 9. Anchor",['en-AU'],Dev Raga
113,5uWnhxWLxB7SFpIc9SxNI8,JJT Premier Financials,"Our goal is to help our audience by sharing personal finance and investing tips, as well as provide different opportunities by sharing inspiring journeys of people from different walks of life. ",['en'],Jeremy Jessley Tan
115,43fGGQcByxbRTRKhbBfyJk,Equipment Finance Matters,"Join host Alexa Carnibella to get up close and personal with leaders in the equipment finance industry. Find out how they joined the industry, the top pieces of leadership advice and personal stories of overcoming challenges to succeed.  Brought to you by the Emerging Talent Advisory Council (ETAC) and ELFA.    Direct comments and questions to: acarnibella@elfaonline.org.",['en'],Equipment Leasing & Finance Association
117,76MnL6CA1rn9ZGDkZQTG0r,Financial Independence & Personal Finances | Mediocre Money,Welcome to the financial independence podcast by mediocre money. This is the show with the best personal finance advice and strategies to help you become financially independent.,['en'],Mark
118,0cWFX2QnTsO2K5sTXnINlc,"You Got Into Where?: College Admissions, Scholarships, College Applications, Financial Aid & Standardized Testing","The You Got Into Where? Podcast teaches you the secret college admissions strategies that high school students and parents use to gain admission and scholarships to their top choice universities. Our host, Joi Wade, received over $500,000 in merit scholarships when she applied to college. She will guide you down the path to becoming a master of college applications, college essays, personal statements, SAT, ACT, AP Exams, Common Application, resumes, teacher recommendations, scholarships, financial aid, grades and GPA, extracurriculars, FAFSA, CSS Profile & many more to help you achieve college admissions success.",['en'],"Joi Wade, recipient of over $500,000 in scholarship offers and author of You Got Into Where?: How I Received Admission and Scholarships to the Nation’s Top Universities"
119,720JYFH3AzBBFkaHPeG306,"Fireside Chat on Personal Finance, Growth and Entrepreneurship","Fireside Chat on Personal Finance, Growth and Entrepreneurship",['en'],MC Media
120,5v51O9e6xJnlk26fmSGXPZ,Investor Financing Podcast,"Beau Eckstein, Real Estate Entrepreneur, TV Personality, Private Money and Construction Financing Specialist and Investor.",['en'],Beau Eckstein
